UID,recency,frequency,monetary_value,R_Mean,F_Mean,M_Mean,Score,Rank
34749120,391.22158564814816,2,1000,1,1,1,111,1
34760384,206.6832986111111,8,4000,1,0,0,100,5
34761408,22.75025462962963,1,150,0,1,1,011,4
34764544,4.842986111111111,1,750,0,1,1,011,4
34786432,50.007268518518515,1,500,1,1,1,111,1
34852512,315.7741203703704,32,5210,1,0,0,100,5
34918528,321.0886458333333,5,2500,1,1,0,110,2
35256032,15.91099537037037,38,9650,0,0,0,000,8
35636544,46.7577662037037,11,5500,0,0,0,000,8
35739120,440.7995949074074,1,500,1,1,1,111,1
35740192,55.73993055555555,4,300,1,1,1,111,1
35744864,61.002372685185186,5,2010,1,1,0,110,2
35789536,131.55186342592592,24,1445,1,0,1,101,3
35850816,53.56237268518519,1,150,1,1,1,111,1
35904400,45.08006944444445,38,2350,0,0,0,000,8
35923584,9.979421296296296,11,5750,0,0,0,000,8
35924096,57.746689814814815,5,1400,1,1,1,111,1
35951152,40.19498842592593,42,7400,0,0,0,000,8
35960016,11.399247685185186,9,3950,0,0,0,000,8
36027696,4.9434606481481485,29,12950,0,0,0,000,8
36085760,57.98125,12,4800,1,0,0,100,5
36162960,268.7542013888889,4,2250,1,1,0,110,2
36174288,44.80756944444445,17,5250,0,0,0,000,8
36194224,49.75539351851852,16,4900,0,0,0,000,8
36317744,14.20875,7,1550,0,0,1,001,7
36324000,58.73638888888889,5,1150,1,1,1,111,1
36341776,25.945,6,2850,0,1,0,010,6
36361232,267.1265393518519,6,3000,1,1,0,110,2
36388224,53.09256944444444,3,1150,1,1,1,111,1
36397936,3.9366435185185185,23,8350,0,0,0,000,8
36412384,7.936701388888889,10,3350,0,0,0,000,8
36452624,56.6319212962963,5,1550,1,1,1,111,1
36475984,252.6449074074074,1,500,1,1,1,111,1
36504496,57.877546296296295,9,2750,1,0,0,100,5
36510864,134.80358796296295,3,75,1,1,1,111,1
36562688,44.00846064814815,4,950,0,1,1,011,4
36609856,592.8304976851852,1,500,1,1,1,111,1
36683472,43.25414351851852,6,3000,0,1,0,010,6
36697568,24.714780092592594,7,3500,0,0,0,000,8
36720352,58.618981481481484,3,1250,1,1,1,111,1
36732256,49.681412037037035,12,2325,0,0,0,000,8
36763360,41.70255787037037,7,2000,0,0,0,000,8
36803632,244.88905092592591,2,650,1,1,1,111,1
36806096,15.929016203703704,13,1550,0,0,1,001,7
36867264,156.74172453703704,17,7350,1,0,0,100,5
36926192,105.92578703703704,2,800,1,1,1,111,1
36978672,8.086724537037037,5,1550,0,1,1,011,4
37018144,16.16394675925926,12,5750,0,0,0,000,8
37067120,26.803622685185186,24,7750,0,0,0,000,8
37068640,0.7719212962962962,5,650,0,1,1,011,4
37074544,28.801238425925927,4,1600,0,1,1,011,4
37150112,6.290439814814815,9,2950,0,0,0,000,8
37158096,71.76069444444444,4,1800,1,1,0,110,2
37254800,14.985127314814815,20,3690,0,0,0,000,8
37260576,29.812071759259258,5,2500,0,1,0,010,6
37263408,329.2965046296296,2,290,1,1,1,111,1
37266384,97.74543981481482,3,1150,1,1,1,111,1
37290464,87.98597222222222,4,1750,1,1,1,111,1
37293424,47.771655092592596,7,1695,0,0,1,001,7
37296464,59.85145833333333,16,7300,1,0,0,100,5
37314608,57.83850694444445,1,50,1,1,1,111,1
37324080,9.658125,21,6300,0,0,0,000,8
37326896,19.88775462962963,4,200,0,1,1,011,4
37332528,29.667152777777776,1,500,0,1,1,011,4
37378768,28.534502314814816,5,1300,0,1,1,011,4
37388096,159.77210648148147,1,150,1,1,1,111,1
37399184,1.6402893518518518,4,550,0,1,1,011,4
37408832,44.7416087962963,9,1750,0,0,1,001,7
37410112,39.7665162037037,1,150,0,1,1,011,4
37430944,54.210648148148145,21,4335,1,0,0,100,5
37473856,361.6400115740741,8,3300,1,0,0,100,5
37475824,24.1346875,13,6000,0,0,0,000,8
37491344,22.399097222222224,4,1800,0,1,0,010,6
37535552,17.675219907407406,38,18450,0,0,0,000,8
37575440,43.67900462962963,1,50,0,1,1,011,4
37585360,40.70988425925926,16,800,0,0,1,001,7
37592416,41.785868055555554,3,1400,0,1,1,011,4
37597616,55.11460648148148,3,500,1,1,1,111,1
37632848,45.10462962962963,4,1900,0,1,0,010,6
37634032,42.55258101851852,7,2815,0,0,0,000,8
37669504,280.7427777777778,8,3050,1,0,0,100,5
37677664,127.118125,2,1000,1,1,1,111,1
37690880,5.8939814814814815,53,19100,0,0,0,000,8
37725600,10.974212962962962,1,50,0,1,1,011,4
37732016,5.516678240740741,1,150,0,1,1,011,4
37732432,51.94916666666666,2,100,1,1,1,111,1
37749952,7.898958333333334,4,200,0,1,1,011,4
37758224,478.8714699074074,1,50,1,1,1,111,1
37760816,22.657581018518517,1,150,0,1,1,011,4
37769328,10.777175925925926,125,15410,0,0,0,000,8
37788224,14.78130787037037,3,1050,0,1,1,011,4
37790448,1.8848958333333334,11,5500,0,0,0,000,8
37796176,59.299988425925925,4,750,1,1,1,111,1
37798304,84.1891087962963,12,4305,1,0,0,100,5
37805456,55.96309027777778,20,3450,1,0,0,100,5
37811232,47.77563657407408,4,600,0,1,1,011,4
37833792,162.2692361111111,5,1350,1,1,1,111,1
37834656,18.869479166666668,4,1500,0,1,1,011,4
37839120,11.638206018518519,2,850,0,1,1,011,4
37953040,14.696574074074075,16,5450,0,0,0,000,8
37966688,215.84563657407406,2,800,1,1,1,111,1
37967872,29.842916666666667,9,4500,0,0,0,000,8
37969776,28.087337962962962,2,1000,0,1,1,011,4
37972960,177.7298148148148,8,2750,1,0,0,100,5
37973984,0.3773148148148148,6,900,0,1,1,011,4
37979824,41.01892361111111,1,150,0,1,1,011,4
37990080,0.8959143518518519,1,150,0,1,1,011,4
37992848,10.769305555555556,36,14490,0,0,0,000,8
37999792,52.909479166666664,15,6025,1,0,0,100,5
38004144,38.62699074074074,1,150,0,1,1,011,4
38011264,378.9540162037037,1,500,1,1,1,111,1
38014464,315.2912152777778,10,2900,1,0,0,100,5
38022160,26.780763888888888,2,300,0,1,1,011,4
38022816,45.82825231481481,1,50,0,1,1,011,4
38027008,584.3014583333334,2,100,1,1,1,111,1
38041328,58.78452546296296,1,500,1,1,1,111,1
38065616,0.7710532407407408,3,150,0,1,1,011,4
38069920,47.26009259259259,2,800,0,1,1,011,4
38087680,22.896284722222223,1,50,0,1,1,011,4
38147008,56.28811342592593,2,1000,1,1,1,111,1
38214128,14.207766203703704,9,1850,0,0,0,000,8
38228560,116.11913194444445,4,1650,1,1,1,111,1
38265232,174.0894675925926,35,16950,1,0,0,100,5
38267728,401.5830671296296,2,600,1,1,1,111,1
38274336,83.79149305555555,2,300,1,1,1,111,1
38274992,225.10875,3,1050,1,1,1,111,1
38306944,58.09146990740741,1,500,1,1,1,111,1
38368320,24.804131944444446,7,1050,0,0,1,001,7
38368560,24.80267361111111,9,1350,0,0,1,001,7
38446368,56.73040509259259,4,2250,1,1,0,110,2
38542944,60.0171875,11,4400,1,0,0,100,5
38600880,10.633923611111111,10,1650,0,0,1,001,7
38619776,1.6594097222222222,1,150,0,1,1,011,4
39587872,4.091851851851852,5,1050,0,1,1,011,4
40171936,51.64773148148148,6,2050,1,1,0,110,2
40722016,42.16199074074074,3,900,0,1,1,011,4
41993152,49.87976851851852,2,100,0,1,1,011,4
42052016,53.786886574074074,4,1750,1,1,1,111,1
42065344,15.912974537037037,31,7500,0,0,0,000,8
42076480,7.963541666666667,8,1100,0,0,1,001,7
42076768,49.07222222222222,12,5650,0,0,0,000,8
42113600,17.045092592592592,7,1050,0,0,1,001,7
42119360,43.78275462962963,4,950,0,1,1,011,4
42146672,54.747199074074075,3,800,1,1,1,111,1
42165520,18.775752314814813,12,1200,0,0,1,001,7
42209552,44.80274305555555,17,4950,0,0,0,000,8
42259968,139.88594907407406,1,500,1,1,1,111,1
42262560,463.9027662037037,1,500,1,1,1,111,1
42297424,40.80833333333333,56,13200,0,0,0,000,8
42304944,309.6052314814815,2,1000,1,1,1,111,1
42337184,51.81337962962963,4,500,1,1,1,111,1
42347184,18.53440972222222,48,15500,0,0,0,000,8
42347936,35.719409722222224,1,500,0,1,1,011,4
42364800,17.044085648148148,7,1050,0,0,1,001,7
42395648,51.89361111111111,1,500,1,1,1,111,1
42471952,58.968715277777775,10,2450,1,0,0,100,5
42505760,8.354837962962963,1,150,0,1,1,011,4
42508400,17.750636574074075,5,2300,0,1,0,010,6
42547488,47.8825,4,200,0,1,1,011,4
42627952,42.944328703703704,5,1800,0,1,0,010,6
42630400,20.721006944444444,1,150,0,1,1,011,4
42651968,51.80803240740741,1,50,1,1,1,111,1
42686720,44.75768518518519,4,1400,0,1,1,011,4
42706048,5.122731481481481,16,3050,0,0,0,000,8
42707056,143.6003472222222,1,500,1,1,1,111,1
42719168,20.25193287037037,61,22250,0,0,0,000,8
42720608,514.1522800925926,2,800,1,1,1,111,1
42749248,57.99513888888889,6,3000,1,1,0,110,2
42763920,22.035578703703703,9,1500,0,0,1,001,7
42765312,50.249340277777776,2,700,1,1,1,111,1
42778800,31.944224537037037,3,210,0,1,1,011,4
42820832,17.138425925925926,30,4250,0,0,0,000,8
42823072,58.30247685185185,2,450,1,1,1,111,1
42829392,58.72613425925926,4,1300,1,1,1,111,1
42837872,5.471701388888889,5,1550,0,1,1,011,4
42844800,57.06502314814815,3,1150,1,1,1,111,1
42873072,475.85417824074074,5,1350,1,1,1,111,1
42906112,120.73127314814815,3,950,1,1,1,111,1
42927184,56.79212962962963,3,350,1,1,1,111,1
42943968,372.4015972222222,7,3300,1,0,0,100,5
42963824,113.88895833333333,5,2050,1,1,0,110,2
42980784,42.684756944444445,10,4000,0,0,0,000,8
43006288,389.8658912037037,11,1565,1,0,1,101,3
43011616,39.5665625,13,6500,0,0,0,000,8
43082032,26.764282407407407,4,2250,0,1,0,010,6
43108656,27.612291666666668,3,150,0,1,1,011,4
43152528,4.8888541666666665,9,2150,0,0,0,000,8
43192608,362.79435185185184,1,500,1,1,1,111,1
43259088,220.85347222222222,5,2050,1,1,0,110,2
43283600,8.881446759259259,34,12050,0,0,0,000,8
43286032,222.9328935185185,7,1400,1,0,1,101,3
43299056,40.95929398148148,3,1300,0,1,1,011,4
43316608,57.83939814814815,4,700,1,1,1,111,1
43325584,23.80097222222222,3,1565,0,1,1,011,4
43326128,344.79542824074076,1,500,1,1,1,111,1
43337024,55.775983796296295,5,990,1,1,1,111,1
43379664,360.9782407407407,1,500,1,1,1,111,1
43387056,49.77543981481482,4,950,0,1,1,011,4
43430384,362.924375,3,850,1,1,1,111,1
43465584,69.16145833333333,1,150,1,1,1,111,1
43497472,626.9958101851852,1,500,1,1,1,111,1
43501200,29.777893518518518,20,8600,0,0,0,000,8
43529936,39.88614583333333,3,700,0,1,1,011,4
43577520,20.69672453703704,58,18650,0,0,0,000,8
43582336,2.853101851851852,4,600,0,1,1,011,4
43582592,48.918310185185184,2,300,0,1,1,011,4
43613920,22.03790509259259,6,1050,0,1,1,011,4
43644016,19.697789351851853,1,300,0,1,1,011,4
43734064,88.74115740740741,27,11400,1,0,0,100,5
43736496,30.14351851851852,9,4500,0,0,0,000,8
43748976,55.805856481481484,10,3050,1,0,0,100,5
43781328,49.37864583333333,15,4950,0,0,0,000,8
43841008,39.89378472222222,36,10700,0,0,0,000,8
43852048,523.9189583333333,6,1100,1,1,1,111,1
43860240,10.836527777777778,1,150,0,1,1,011,4
43879360,280.9478472222222,1,200,1,1,1,111,1
43879376,280.9413310185185,1,200,1,1,1,111,1
43940304,545.9554513888888,4,1800,1,1,0,110,2
43948304,41.799872685185186,7,3300,0,0,0,000,8
43983232,47.66763888888889,4,265,0,1,1,011,4
44007632,42.7362037037037,11,5500,0,0,0,000,8
44010800,115.82824074074074,3,1400,1,1,1,111,1
44026704,49.07434027777778,17,6900,0,0,0,000,8
44043872,1.2646064814814815,42,7600,0,0,0,000,8
44077680,138.13296296296295,4,2000,1,1,0,110,2
